,mes,estrato1,sex,age,p6426,relab,hoursWorkUsual,fweight,maxEducLevel,college,regSalud,pea,formal,microEmpresa,sizeFirm,y_salary_m_hu
1287,1,1,1,50,12.0,1.0,48.0,350,6.0,1,1.0,1,1.0,0.0,4.0,4861
1289,1,1,1,23,10.0,1.0,50.0,198,3.0,0,1.0,1,1.0,0.0,4.0,3966
1294,1,2,1,72,60.0,1.0,40.0,257,3.0,0,3.0,1,0.0,1.0,2.0,1750
1297,1,1,1,46,6.0,1.0,60.0,263,5.0,0,1.0,1,1.0,0.0,4.0,3850
1300,1,3,1,54,60.0,1.0,48.0,303,7.0,0,1.0,1,1.0,0.0,3.0,8750
1302,1,3,0,50,240.0,2.0,30.0,303,7.0,0,2.0,1,1.0,0.0,5.0,29555
1305,1,3,0,27,24.0,1.0,48.0,321,7.0,0,1.0,1,1.0,0.0,5.0,7777
1315,1,2,0,46,48.0,3.0,58.0,255,3.0,0,1.0,1,1.0,1.0,1.0,2964
1316,1,2,1,48,48.0,1.0,50.0,255,4.0,0,1.0,1,1.0,0.0,5.0,6533
1317,1,5,0,51,300.0,1.0,40.0,231,7.0,0,1.0,1,1.0,0.0,5.0,75833
1319,1,5,0,28,1.0,1.0,48.0,231,7.0,0,1.0,1,0.0,1.0,2.0,4375
1320,1,5,1,32,96.0,1.0,48.0,331,4.0,0,1.0,1,1.0,1.0,1.0,3586
1325,1,2,0,50,192.0,1.0,48.0,342,6.0,1,1.0,1,1.0,0.0,5.0,3586
1328,1,2,0,29,13.0,1.0,63.0,386,5.0,0,3.0,1,0.0,0.0,3.0,1666
1330,1,2,1,34,36.0,1.0,48.0,299,6.0,1,1.0,1,1.0,0.0,5.0,3586
1338,1,4,0,62,336.0,2.0,36.0,254,7.0,0,2.0,1,1.0,0.0,5.0,21388
1339,1,2,0,46,120.0,3.0,20.0,243,5.0,0,1.0,1,0.0,1.0,1.0,7000
1345,1,2,0,25,60.0,1.0,40.0,348,7.0,0,1.0,1,1.0,0.0,5.0,4303
1347,1,2,1,26,2.0,1.0,48.0,348,6.0,1,1.0,1,1.0,0.0,5.0,3586
1352,1,2,1,53,240.0,1.0,48.0,296,6.0,1,1.0,1,1.0,0.0,5.0,4375
1355,1,5,0,58,36.0,3.0,24.0,247,4.0,0,1.0,1,0.0,1.0,1.0,6805
1356,1,5,1,42,120.0,1.0,48.0,247,4.0,0,1.0,1,1.0,1.0,2.0,3586
1358,1,2,1,34,120.0,2.0,80.0,303,7.0,0,2.0,1,1.0,0.0,5.0,5541
1359,1,2,0,25,60.0,2.0,70.0,303,7.0,0,2.0,1,1.0,0.0,5.0,6333
1366,1,4,0,43,6.0,1.0,40.0,152,7.0,0,1.0,1,1.0,0.0,4.0,30333
1374,1,5,0,28,16.0,3.0,48.0,210,4.0,0,1.0,1,1.0,1.0,1.0,4375
1377,1,3,0,54,372.0,2.0,40.0,234,7.0,0,1.0,1,1.0,0.0,5.0,23333
1380,1,3,0,45,4.0,1.0,48.0,246,7.0,0,1.0,1,1.0,0.0,5.0,14583
1386,1,5,1,22,1.0,1.0,48.0,198,6.0,1,1.0,1,1.0,1.0,2.0,3586
1388,1,2,1,25,24.0,1.0,50.0,187,7.0,0,1.0,1,1.0,0.0,5.0,5600
1398,1,2,1,53,120.0,1.0,48.0,341,6.0,1,1.0,1,1.0,0.0,5.0,3586
1399,1,3,1,31,3.0,1.0,48.0,288,6.0,1,1.0,1,1.0,0.0,4.0,6173
1400,1,3,0,54,17.0,1.0,48.0,288,6.0,1,1.0,1,1.0,0.0,4.0,3815
