,mes,estrato1,sex,age,p6426,relab,hoursWorkUsual,ingtot,fweight,maxEducLevel,college,regSalud,pea,formal,cuentaPropia,microEmpresa,sizeFirm
14776,6,4,1,93,,,,686000,233,5.0,0,1.0,0,,0,,
14777,6,4,0,87,,,,1312500,233,7.0,0,1.0,0,,0,,
14778,6,4,1,71,,,,934594,233,6.0,1,,0,,0,,
14780,6,3,1,23,60.0,4.0,60.0,750000,274,7.0,0,1.0,1,0.0,1,0.0,3.0
14781,6,3,0,25,12.0,1.0,50.0,960929,274,6.0,1,1.0,1,1.0,0,0.0,4.0
14782,6,3,1,47,60.0,1.0,60.0,781242,262,6.0,1,2.0,1,0.0,0,1.0,2.0
14783,6,3,0,45,298.0,2.0,72.0,1998666,262,6.0,1,2.0,1,1.0,0,0.0,5.0
14784,6,3,1,20,,,,934594,262,7.0,0,2.0,0,,0,,
14785,6,3,1,19,,,,934594,262,7.0,0,2.0,0,,0,,
14787,6,4,1,80,,,,2000000,243,6.0,1,2.0,0,,0,,
14788,6,4,0,75,,,,1700000,243,7.0,0,2.0,0,,0,,
14790,6,1,1,41,24.0,5.0,48.0,1400000,240,6.0,1,1.0,1,0.0,0,1.0,2.0
14791,6,1,0,36,60.0,1.0,48.0,2162711,240,7.0,0,1.0,1,1.0,0,0.0,4.0
14793,6,5,1,80,,,,2284951,243,7.0,0,1.0,0,,0,,
14794,6,5,0,81,,,,934594,243,7.0,0,1.0,0,,0,,
14795,6,3,0,48,48.0,4.0,72.0,1000000,226,4.0,0,,1,0.0,1,1.0,1.0
14796,6,3,1,18,11.0,5.0,4.0,350000,226,7.0,0,,1,0.0,0,1.0,2.0
14797,6,1,0,47,120.0,1.0,40.0,1151666,216,6.0,1,1.0,1,1.0,0,0.0,4.0
14798,6,1,0,26,1.0,1.0,40.0,888000,216,6.0,1,1.0,1,1.0,0,0.0,5.0
14799,6,1,1,22,3.0,1.0,48.0,900000,216,6.0,1,1.0,1,0.0,0,1.0,2.0
14801,6,3,1,65,,,,800000,189,3.0,0,,0,,0,,
14802,6,3,0,32,12.0,1.0,48.0,930453,189,7.0,0,1.0,1,1.0,0,1.0,2.0
14803,6,3,0,28,7.0,1.0,48.0,869453,189,7.0,0,1.0,1,1.0,0,1.0,2.0
14805,6,3,0,23,5.0,1.0,48.0,900000,189,6.0,1,1.0,1,1.0,0,0.0,3.0
14806,6,3,0,52,9.0,4.0,30.0,420000,189,4.0,0,,1,0.0,1,1.0,1.0
14807,6,3,0,21,6.0,1.0,48.0,909453,212,7.0,0,1.0,1,1.0,0,0.0,4.0
14808,6,1,1,33,2.0,1.0,30.0,1000000,206,6.0,1,3.0,1,0.0,0,0.0,4.0
14810,6,1,1,35,8.0,1.0,48.0,1250000,206,6.0,1,1.0,1,1.0,0,1.0,2.0
14811,6,1,1,26,5.0,1.0,66.0,888211,225,3.0,0,1.0,1,1.0,0,0.0,5.0
14812,6,1,1,34,4.0,1.0,48.0,903211,225,5.0,0,1.0,1,1.0,0,0.0,5.0
14815,6,1,0,63,120.0,4.0,48.0,800000,243,3.0,0,3.0,1,0.0,1,1.0,1.0
14818,6,3,1,61,,,,1700000,271,4.0,0,1.0,0,,0,,
14819,6,3,0,53,,,,934594,271,5.0,0,1.0,0,,0,,
14820,6,3,0,35,36.0,4.0,48.0,2330000,271,7.0,0,1.0,1,1.0,1,0.0,5.0
14821,6,3,0,33,36.0,1.0,48.0,2308333,271,7.0,0,1.0,1,1.0,0,0.0,5.0
14829,6,3,0,43,,,,934594,240,5.0,0,1.0,0,,0,,
14830,6,3,1,52,72.0,1.0,48.0,800000,240,3.0,0,1.0,1,0.0,0,1.0,2.0
14831,6,3,0,21,3.0,1.0,48.0,888211,240,7.0,0,1.0,1,1.0,0,0.0,5.0
14832,6,3,0,19,6.0,1.0,48.0,918211,240,7.0,0,1.0,1,1.0,0,0.0,5.0
14833,6,3,1,24,60.0,1.0,48.0,1178687,234,6.0,1,1.0,1,1.0,0,0.0,4.0
14834,6,3,0,23,12.0,1.0,40.0,1441666,234,6.0,1,1.0,1,0.0,0,0.0,4.0
14838,6,1,1,33,190.0,2.0,60.0,2666666,264,6.0,1,2.0,1,1.0,0,0.0,5.0
14839,6,1,0,42,36.0,4.0,15.0,600000,264,6.0,1,2.0,1,0.0,1,1.0,2.0
14840,6,3,1,21,9.0,1.0,60.0,1109666,298,6.0,1,1.0,1,1.0,0,1.0,2.0
14841,6,3,0,25,24.0,1.0,56.0,1158666,298,6.0,1,1.0,1,1.0,0,0.0,3.0
14844,6,1,1,25,4.0,1.0,48.0,458211,201,7.0,0,1.0,1,1.0,0,0.0,3.0
14846,6,3,0,35,139.0,1.0,48.0,1345333,201,7.0,0,1.0,1,1.0,0,1.0,2.0
14849,6,3,1,33,12.0,4.0,48.0,950000,216,6.0,1,1.0,1,0.0,1,0.0,4.0
14850,6,3,0,26,0.0,1.0,40.0,800000,216,7.0,0,1.0,1,0.0,0,0.0,4.0
14851,6,1,1,39,5.0,1.0,48.0,1088211,229,5.0,0,1.0,1,1.0,0,0.0,5.0
14852,6,1,1,26,38.0,1.0,48.0,1190711,229,6.0,1,1.0,1,1.0,0,0.0,5.0
14854,6,1,0,42,,,,934594,229,3.0,0,3.0,0,,0,,
14855,6,3,1,38,180.0,1.0,48.0,3833333,240,7.0,0,1.0,1,1.0,0,0.0,5.0
14856,6,3,0,38,48.0,2.0,40.0,5641666,240,7.0,0,1.0,1,1.0,0,0.0,5.0
14858,6,3,1,56,60.0,1.0,48.0,1640333,226,5.0,0,1.0,1,1.0,0,0.0,5.0
14860,6,3,0,55,,,,390000,234,5.0,0,1.0,0,,0,,
14861,6,3,0,32,4.0,4.0,56.0,1000000,234,7.0,0,1.0,1,1.0,1,0.0,5.0
14862,6,4,1,71,,,,2300000,215,6.0,1,1.0,0,,0,,
14863,6,4,1,52,60.0,4.0,72.0,1200000,215,7.0,0,1.0,1,0.0,1,1.0,1.0
14864,6,3,1,44,144.0,1.0,48.0,1793333,215,7.0,0,1.0,1,1.0,0,0.0,5.0
14865,6,3,0,31,120.0,1.0,48.0,10158000,215,7.0,0,1.0,1,1.0,0,0.0,4.0
14867,6,3,0,34,48.0,1.0,24.0,911120,202,7.0,0,1.0,1,1.0,0,0.0,5.0
14870,6,3,1,42,,,,300000,191,7.0,0,1.0,0,,0,,
14871,6,3,0,45,5.0,1.0,40.0,1869453,191,6.0,1,1.0,1,1.0,0,0.0,3.0
14874,6,3,0,39,1.0,4.0,36.0,300000,242,6.0,1,3.0,1,0.0,1,1.0,1.0
14875,6,3,1,21,,,,934594,242,7.0,0,1.0,0,,0,,
14877,6,3,0,71,,,,934594,242,5.0,0,3.0,0,,0,,
14878,6,3,0,61,,,,33333,249,3.0,0,3.0,0,,0,,
14879,6,3,1,25,5.0,1.0,45.0,884166,249,6.0,1,1.0,1,1.0,0,0.0,5.0
14880,6,3,0,78,,,,25000,249,1.0,0,3.0,0,,0,,
14881,6,3,1,36,8.0,1.0,48.0,1245211,249,7.0,0,1.0,1,1.0,0,0.0,5.0
14883,6,3,0,64,,,,934594,233,5.0,0,3.0,0,,0,,
14884,6,3,1,25,12.0,1.0,48.0,949667,233,6.0,1,1.0,1,1.0,0,0.0,5.0
14886,6,3,1,72,,,,1250000,263,7.0,0,1.0,0,,0,,
14887,6,3,0,70,,,,687492,263,6.0,1,1.0,0,,0,,
14888,6,3,0,36,24.0,1.0,48.0,843742,263,6.0,1,1.0,1,1.0,0,0.0,4.0
14889,6,3,0,44,5.0,4.0,48.0,1300000,263,7.0,0,1.0,1,1.0,1,0.0,4.0
14890,6,3,1,44,48.0,4.0,48.0,500000,263,6.0,1,1.0,1,0.0,1,1.0,1.0
14891,6,3,0,56,,,,934594,218,7.0,0,1.0,0,,0,,
14892,6,3,0,30,24.0,4.0,48.0,600000,218,7.0,0,1.0,1,1.0,1,0.0,4.0
14893,6,3,0,21,24.0,1.0,48.0,1200000,218,7.0,0,1.0,1,1.0,0,0.0,4.0
14895,6,3,0,29,12.0,1.0,60.0,1000000,202,6.0,1,3.0,1,0.0,0,1.0,2.0
14896,6,3,0,24,3.0,1.0,54.0,900000,202,6.0,1,3.0,1,0.0,0,1.0,2.0
14897,6,2,1,27,7.0,1.0,48.0,1182877,215,6.0,1,1.0,1,1.0,0,0.0,5.0
14898,6,2,1,29,1.0,4.0,48.0,400000,215,7.0,0,,1,0.0,1,0.0,3.0
14901,6,3,0,44,1.0,1.0,96.0,996666,269,6.0,1,1.0,1,1.0,0,1.0,2.0
14903,6,3,0,27,2.0,1.0,40.0,781242,269,7.0,0,1.0,1,0.0,0,0.0,5.0
14905,6,3,0,39,24.0,4.0,40.0,800000,226,6.0,1,3.0,1,0.0,1,1.0,1.0
14908,6,1,1,34,36.0,5.0,60.0,1000000,225,7.0,0,,1,0.0,0,1.0,2.0
14909,6,1,1,37,24.0,1.0,60.0,975000,201,5.0,0,1.0,1,1.0,0,0.0,5.0
14911,6,1,0,42,168.0,4.0,72.0,2000000,227,7.0,0,1.0,1,1.0,1,1.0,1.0
14913,6,1,0,72,72.0,4.0,24.0,420000,282,4.0,0,3.0,1,0.0,1,1.0,1.0
14914,6,1,0,36,,,,934594,282,6.0,1,1.0,0,,0,,
14915,6,1,1,34,38.0,1.0,48.0,1017211,282,5.0,0,1.0,1,1.0,0,0.0,4.0
14916,6,1,1,52,129.0,1.0,60.0,1808333,197,4.0,0,1.0,1,1.0,0,0.0,3.0
14917,6,1,0,48,24.0,4.0,60.0,1000000,197,3.0,0,1.0,1,0.0,1,1.0,1.0
14918,6,1,0,27,24.0,1.0,48.0,994229,197,6.0,1,1.0,1,1.0,0,0.0,5.0
14921,6,1,0,39,,,,934594,197,5.0,0,3.0,0,,0,,
14922,6,1,0,21,6.0,1.0,48.0,950000,197,6.0,1,1.0,1,0.0,0,0.0,3.0
14923,6,1,0,19,1.0,1.0,50.0,800000,197,6.0,1,1.0,1,0.0,0,0.0,3.0
14924,6,1,1,51,2.0,1.0,48.0,938211,240,6.0,1,1.0,1,1.0,0,1.0,2.0
14925,6,1,0,51,,,,934594,240,3.0,0,3.0,0,,0,,
14929,6,1,1,59,24.0,4.0,84.0,1300000,264,5.0,0,3.0,1,0.0,1,0.0,3.0
14930,6,1,0,43,108.0,4.0,36.0,600000,264,6.0,1,3.0,1,0.0,1,1.0,1.0
14932,6,1,1,19,5.0,1.0,48.0,450000,264,6.0,1,3.0,1,0.0,0,0.0,3.0
14934,6,3,0,69,,,,934594,243,4.0,0,1.0,0,,0,,
14935,6,3,1,42,72.0,1.0,48.0,833333,243,6.0,1,1.0,1,1.0,0,0.0,5.0
14936,6,3,1,49,60.0,4.0,45.0,1000000,191,6.0,1,1.0,1,0.0,1,1.0,2.0
14937,6,3,0,49,60.0,4.0,45.0,1000000,191,5.0,0,3.0,1,0.0,1,1.0,2.0
14939,6,3,0,21,3.0,1.0,48.0,640000,191,6.0,1,,1,0.0,0,1.0,2.0
14940,6,3,0,87,,,,1600000,253,6.0,1,1.0,0,,0,,
14941,6,3,0,70,,,,4800000,253,6.0,1,1.0,0,,0,,
14942,6,1,0,60,,,,934594,231,4.0,0,1.0,0,,0,,
14943,6,1,1,34,72.0,1.0,48.0,869453,231,6.0,1,1.0,1,1.0,0,1.0,2.0
14944,6,1,1,27,,,,934594,231,6.0,1,,0,,0,,
14945,6,1,1,18,,,,50000,231,7.0,0,1.0,0,,0,,
